NID,Name,Birth_date,Centre,Date_published,Size,Breed,Sex,Child_Suitability,Cat_suitability,Dog_suitability,Reserved,Date_reserved,Rehomed,Date_rehomed,Ideal_location
495956,BELLA,2017-03-29,brands hatch,2018-09-28,small,mongrel,Female,D - Adults only,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-11-03,,,I prefer to live away from the inner city
495686,BUFFY,2013-09-21,old windsor,2019-09-20,,terrier: cairn,Female,D - Adults only,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495456,OBI,2012-01-01,battersea,2019-04-22,large,mongrel,Male,C - Can live with 13-16,A - Possibly Live With,A - Can Live With,Reserved,2019-11-03,,,I can live in just about any location
495836,BRONSON,2018-11-25,brands hatch,2019-09-25,large,mastiff: bull,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495691,FINCH,2015-09-21,old windsor,2019-09-20,small,terrier: yorkshire,Female,D - Adults only,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495976,ROO,2019-01-01,old windsor,2019-09-17,small,jack russell terrier,Female,C - Can live with 13-16,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495971,BENJI (AND BRONSON),2013-09-29,battersea,2019-09-04,,french bulldog,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
807641,BRIAN,2017-04-01,old windsor,2019-10-01,large,lurcher,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,Reserved,2019-11-03,,,I prefer to live away from the inner city
495441,BEAU,2016-11-14,battersea,2019-09-10,large,german shepherd,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
870011,PICKLES (AND WOOFY),2018-08-21,battersea,2019-10-04,medium,spaniel: cocker,Female,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-20,Rehomed,2019-10-28,I can live in just about any location
870016,WOOFY (AND PICKLES),2018-10-17,battersea,2019-10-04,medium,poodle: miniature,Male,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-20,,,I can live in just about any location
495811,CINNAMON,2014-05-15,battersea,2019-08-16,medium,mongrel,Female,C - Can live with 13-16,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495491,EVEREST,2016-06-19,battersea,2019-06-27,large,greyhound,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
590241,TOPSY,2007-09-07,old windsor,2019-08-12,,jack russell terrier,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I can live in just about any location
648156,CHARLIE,2017-12-22,old windsor,2019-09-18,small,spitz: german,Male,D - Adults only,B - Not To Live With,A - Can Live With,Reserved,2019-10-20,Rehomed,2019-10-28,I prefer to live away from the inner city
495696,MATTY,2015-04-13,old windsor,2019-09-20,small,mongrel,Male,D - Adults only,A - Possibly Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495796,JACK,2011-05-28,battersea,2019-07-27,small,mongrel,Male,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-20,I can live in just about any location
495866,GRANNY,2012-01-01,brands hatch,2019-08-23,small,mongrel,Female,D - Adults only,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
622921,COOKIE,2013-08-19,brands hatch,2019-09-20,medium,mongrel,Female,B - Can live with age 8-12,A - Possibly Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495626,MAX,2011-06-01,old windsor,2019-08-15,medium,staffordshire bull terrier,Male,B - Can live with age 8-12,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-20,Rehomed,2019-10-28,I can live in just about any location
560266,BELLA,2006-06-01,battersea,2019-09-30,large,lurcher,Female,B - Can live with age 8-12,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-20,Rehomed,2019-10-28,I prefer to live away from the inner city
504146,MAUDE,2014-11-01,battersea,2019-09-18,small,terrier: patterdale,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-28,,,I prefer to live away from the inner city
495446,MOSS,2016-11-15,brands hatch,2019-04-30,medium,mongrel,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live in the countryside
495706,RAIN,2017-03-21,old windsor,2019-09-20,,lurcher,Female,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495916,HOLLY,2012-06-01,old windsor,2019-06-19,medium,mongrel,Female,D - Adults only,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495421,ROXY (& CONKERS),2010-05-01,old windsor,2019-03-23,medium,staffordshire bull terrier,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
495426,PICKLE,2010-07-17,old windsor,2019-07-17,,staffordshire bull terrier,Female,D - Adults only,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I prefer to live away from the inner city
627226,BENJI,2016-05-10,battersea,2019-09-27,large,mongrel,Male,C - Can live with 13-16,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495701,SPARROW,2016-05-17,old windsor,2019-09-20,small,pug,Female,D - Adults only,A - Possibly Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
644421,IMP,2017-03-23,old windsor,2019-09-22,small,jack russell terrier,Female,B - Can live with age 8-12,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
511061,BAILEY,2019-02-24,battersea,2019-10-01,medium,collie: border,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I can live in just about any location
641226,AVA,2018-09-06,battersea,2019-10-01,medium,collie,Female,B - Can live with age 8-12,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495406,COCO,2018-06-15,battersea,2019-09-10,small,pomeranian,Male,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,,,I prefer to live away from the inner city
869996,ROCKY,2013-09-18,battersea,2019-09-18,medium,staffordshire bull terrier,Male,C - Can live with 13-16,A - Possibly Live With,A - Can Live With,,,Rehomed,2019-10-20,I can live in just about any location
495921,ANGEL,2014-01-24,old windsor,2019-08-24,small,dachshund: min long hr,Female,C - Can live with 13-16,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495516,TIG,2018-12-31,battersea,2019-09-16,large,mongrel,Male,D - Adults only,B - Not To Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
631071,BARNEY,2018-11-01,old windsor,2019-09-30,medium,saluki,Male,B - Can live with age 8-12,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
497286,LOLA,2011-06-01,battersea,2019-09-16,small,jack russell terrier,Female,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
496006,JET,2017-03-02,old windsor,2019-09-01,medium,lurcher,Male,D - Adults only,B - Not To Live With,A - Can Live With,,,,,I prefer to live away from the inner city
496001,MAX,2017-08-28,old windsor,2019-06-21,large,mongrel,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-20,I prefer to live away from the inner city
497281,BRONSON (AND BENJI),2015-07-05,battersea,2019-09-04,large,american bulldog,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,,,Rehomed,2019-10-14,I prefer to live away from the inner city
648161,PIXEL,2015-10-03,old windsor,2019-10-02,medium,mongrel,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495531,DALE,2016-02-04,brands hatch,2019-09-16,large,greyhound,Male,C - Can live with 13-16,B - Not To Live With,A - Can Live With,Reserved,2019-10-28,,,I can live in just about any location
495621,CABOOSE,2016-06-10,brands hatch,2019-09-16,large,greyhound,Male,C - Can live with 13-16,B - Not To Live With,A - Can Live With,Reserved,2019-10-28,Rehomed,2019-11-03,I can live in just about any location
714181,HUMPHREY,2014-04-13,battersea,2019-10-12,medium,staffordshire bull terrier,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I can live in just about any location
859586,ELSA,2012-01-22,old windsor,2019-09-20,small,bichon frise,Female,D - Adults only,A - Possibly Live With,C - Prefer To Live With,,,Rehomed,2019-10-20,I prefer to live away from the inner city
495826,WOODY,2016-10-20,battersea,2019-10-01,large,american bulldog,Male,C - Can live with 13-16,A - Possibly Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I can live in just about any location
685621,BENSON,2015-05-30,battersea,2019-10-03,small,terrier: yorkshire,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495946,RIO,2018-03-25,old windsor,2019-08-25,,staffordshire bull terrier,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
495536,LACEY,2018-02-08,brands hatch,2019-09-04,medium,lurcher,Female,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-20,,,I prefer to live away from the inner city
495806,CHARLIE,2018-10-14,brands hatch,2019-08-14,large,mastiff: bull,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,,,I prefer to live away from the inner city
495886,TOBY,2018-12-24,old windsor,2019-07-23,medium,collie,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live in the countryside
590246,MOUSE,2017-04-01,old windsor,2019-10-01,medium,lurcher,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,Reserved,2019-10-14,Rehomed,2019-10-20,I can live in just about any location
496031,PATSY,2018-04-09,old windsor,2019-09-06,small,whippet,Female,C - Can live with 13-16,A - Possibly Live With,B - Prefer To Live Alone,Reserved,2019-10-14,Rehomed,2019-10-20,I prefer to live away from the inner city
495861,DAVE,2018-02-21,old windsor,2019-08-23,medium,mongrel,Male,C - Can live with 13-16,B - Not To Live With,B - Prefer To Live Alone,,,Rehomed,2019-10-14,I prefer to live away from the inner city
631066,TAU,2018-04-07,battersea,2019-10-07,large,lurcher,Male,B - Can live with age 8-12,B - Not To Live With,A - Can Live With,Reserved,2019-10-14,,,I prefer to live away from the inner city
